timeseries_id,scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,baseline_emissions_kgco2,baseline_time_h,co2_savings_pct,score,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
13,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,3414.9166666666665,1300.7812502032423,2110.9940831300946,3.141333333333331,2703452.0082396776,889443.7957552616,979632.0390063507,1300.8333333333333,9.206338672076084,0.056644586872392655,14800000000000,14800000000000,True,76,162.5281281125038,True,completed
14,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,350.0,300.0,3821.5833333333335,1220.0,2596.4580000000024,5.125333333333321,2635748.3948717853,749643.9431128356,946861.7257174832,1300.8333333333333,20.828572667799623,0.10414202936879288,13880888886720,14800000000000,False,124,200.00160160160175,False,budget_exceeded
15,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,400.0,350.0,2530.1666666666665,1300.7812502032423,1226.57474979676,2.810666666666666,2564829.6141450033,809540.4101969186,946861.7257174832,1300.8333333333333,14.502784492266757,0.15345025154601372,14800000000000,14800000000000,True,68,94.51131129568687,True,completed
16,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,350.0,300.0,3757.1666666666665,1155.5833333333333,2596.3340000000026,5.249333333333321,2518673.185724308,720532.0706751758,808905.2738709478,1300.8333333333333,10.925037337545042,0.054624749252295705,13147970368316,14800000000000,False,127,200.0016016016018,False,budget_exceeded
17,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,400.0,350.0,2486.25,1300.7812502032423,1181.7487497967593,3.719999999999995,2559489.7739067865,764198.9433415548,808905.2738709478,1300.8333333333333,5.526769570366944,0.060643675604577535,14800000000000,14800000000000,True,90,91.13513511951062,True,completed
18,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,3445.6666666666665,844.0833333333334,2600.8806666666674,0.7026666666666668,1943965.4109182577,724029.493475334,1011189.9310230978,1300.8333333333333,28.398269082567083,0.1419902083541098,9603792591092,14800000000000,False,17,200.00160160160166,False,budget_exceeded
19,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,1964.3333333333333,1300.7812502032423,663.4280831300912,0.12400000000000001,2472054.758124121,980301.3770727289,1011189.9310230978,1300.8333333333333,3.054673805851349,0.05988169598947016,14800000000000,14800000000000,True,3,51.01181179618719,True,completed
20,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,400.0,350.0,2601.5833333333335,0.0,2601.542,0.04133333333333333,406065.65526209417,180045.41472419823,1035334.306760919,1300.8333333333333,82.60992477999915,0.4130463162217877,0,14800000000000,False,1,200.0016016016016,False,budget_exceeded
21,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,450.0,400.0,3128.3333333333335,526.75,2601.4179999999997,0.16533333333333333,1365311.0434460363,579094.9899315856,1035334.306760919,1300.8333333333333,44.066859742791166,0.22033253428925687,5993244443508,14800000000000,False,4,200.00160160160155,False,budget_exceeded
22,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,400.0,350.0,2601.5833333333335,0.0,2601.542,0.04133333333333333,406065.65526209417,172978.56627138535,1050536.8745916141,1300.8333333333333,83.53426990950422,0.41766800485879346,0,14800000000000,False,1,200.0016016016016,False,budget_exceeded
